,name,deck,type,code,imgSource,count,apperances,avgCopies,percOfDecks
147,Solemn Strike,side_deck,Trap Card,40605147,https://images.ygoprodeck.com/images/cards_small/40605147.jpg,5,2,2.5,0.03
148,Tearlaments Heartbeat,side_deck,Spell Card,60362066,https://images.ygoprodeck.com/images/cards_small/60362066.jpg,2,1,2.0,0.02
149,Bystial Baldrake,side_deck,Effect Monster,72656408,https://images.ygoprodeck.com/images/cards_small/72656408.jpg,1,1,1.0,0.02
150,Kikinagashi Fucho,side_deck,XYZ Monster,27240101,https://images.ygoprodeck.com/images/cards_small/27240101.jpg,2,2,1.0,0.03
151,Lullaby of Obedience,side_deck,Spell Card,39238953,https://images.ygoprodeck.com/images/cards_small/39238953.jpg,5,2,2.5,0.03
152,"Sauravis, the Ancient and Ascended",side_deck,Ritual Effect Monster,4810828,https://images.ygoprodeck.com/images/cards_small/4810828.jpg,1,1,1.0,0.02
153,Dark Ruler No More,side_deck,Spell Card,54693926,https://images.ygoprodeck.com/images/cards_small/54693926.jpg,6,2,3.0,0.03
154,Foolish Return,side_deck,Spell Card,88369727,https://images.ygoprodeck.com/images/cards_small/88369727.jpg,6,2,3.0,0.03
155,Snatch Steal,side_deck,Spell Card,45986603,https://images.ygoprodeck.com/images/cards_small/45986603.jpg,1,1,1.0,0.02
156,Artifact Lancea,side_deck,Effect Monster,34267821,https://images.ygoprodeck.com/images/cards_small/34267821.jpg,1,1,1.0,0.02
157,Different Dimension Ground,side_deck,Trap Card,31849106,https://images.ygoprodeck.com/images/cards_small/31849106.jpg,1,1,1.0,0.02
158,Santa Claws,side_deck,Effect Monster,46565218,https://images.ygoprodeck.com/images/cards_small/46565218.jpg,1,1,1.0,0.02
159,Appointer of the Red Lotus,side_deck,Trap Card,43262273,https://images.ygoprodeck.com/images/cards_small/43262273.jpg,1,1,1.0,0.02
160,Kuriphoton,side_deck,Effect Monster,35112613,https://images.ygoprodeck.com/images/cards_small/35112613.jpg,2,2,1.0,0.03
161,Deck Lockdown,side_deck,Spell Card,1149109,https://images.ygoprodeck.com/images/cards_small/1149109.jpg,2,1,2.0,0.02
162,Agave Dragon,side_deck,Link Monster,2411269,https://images.ygoprodeck.com/images/cards_small/2411269.jpg,1,1,1.0,0.02
